disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_MMR_20210315_112,Green,1,GREEN,1,Myanmar,3/15/2021,2021-04-03T00:00:00,5258,GWIS,MMR,WF,WF 1000097,0 in the burned area,Myanmar,19,5258 ha
WF_CHN_20210326_113,Green,1,GREEN,1,China,3/26/2021,2021-04-03T00:00:00,5628,GWIS,CHN,WF,WF 1000050,0 in the burned area,China,8,5628 ha
WF_IND_20210323_114,Green,1,GREEN,1,India,3/23/2021,2021-04-03T00:00:00,6239,GWIS,IND,WF,WF 1000072,1946 in the burned area,India,11,6239 ha
WF_IND_20210323_115,Green,1,GREEN,1,India,3/23/2021,2021-04-03T00:00:00,12063,GWIS,IND,WF,WF 1000067,0 in the burned area,India,11,12063 ha
WF_THA_20210320_116,Green,1,GREEN,1,Thailand,3/20/2021,2021-04-03T00:00:00,5809,GWIS,THA,WF,WF 1000081,0 in the burned area,Thailand,14,5809 ha
WF_MEX_20210320_117,Green,1,GREEN,1,Mexico,3/20/2021,2021-04-02T00:00:00,5359,GWIS,MEX,WF,WF 1000083,0 in the burned area,Mexico,13,5359 ha
WF_MMR_20210319_118,Green,1,GREEN,1,Myanmar,3/19/2021,2021-04-02T00:00:00,5182,GWIS,MMR,WF,WF 1000085,0 in the burned area,Myanmar,14,5182 ha
WF_MMR_20210317_119,Green,1,GREEN,1,Myanmar,3/17/2021,2021-04-02T00:00:00,6155,GWIS,MMR,WF,WF 1000091,0 in the burned area,Myanmar,16,6155 ha
WF_COD_20210323_120,Green,1,GREEN,1,The Democratic Republic of Congo,3/23/2021,2021-04-02T00:00:00,5264,GWIS,COD,WF,WF 1000069,976 in the burned area,The Democratic Republic of Congo,10,5264 ha
WF_IND_20210324_121,Green,1,GREEN,1,India,3/24/2021,2021-04-02T00:00:00,5353,GWIS,IND,WF,WF 1000063,0 in the burned area,India,9,5353 ha
WF_MMR_20210329_122,Green,1,GREEN,1,Myanmar,3/29/2021,2021-04-02T00:00:00,5034,GWIS,MMR,WF,WF 1000032,0 in the burned area,Myanmar,4,5034 ha
WF_USA_20210328_123,Green,1,GREEN,1,United States,3/28/2021,2021-04-02T00:00:00,11411,GWIS,USA,WF,WF 1000035,1 in the burned area,United States,5,11411 ha
WF_IND_20210324_124,GREEN,1,GREEN,1,India,3/24/2021,2021-04-02T00:00:00,9958,GWIS,IND,WF,WF 1000379,0 in the burned area,India,9,9958 ha
WF_USA_20210328_125,GREEN,1,GREEN,1,United States,3/28/2021,2021-04-01T00:00:00,6330,GWIS,USA,WF,WF 1000370,5 in the burned area,United States,4,6330 ha
