Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS_ID,People_Affected,Duration (days),Burned_Area
WF_IND_20210323_114,Green,1,GREEN,1,India,3/23/2021,4/3/2021,6239,GWIS,IND,WF,WF 1000072,1946,11,6239 hectare
WF_IND_20210323_115,Green,1,GREEN,1,India,3/23/2021,4/3/2021,12063,GWIS,IND,WF,WF 1000067,0,11,12063 hectare
WF_THA_20210320_116,Green,1,GREEN,1,Thailand,3/20/2021,4/3/2021,5809,GWIS,THA,WF,WF 1000081,0,14,5809 hectare
WF_MEX_20210320_117,Green,1,GREEN,1,Mexico,3/20/2021,4/2/2021,5359,GWIS,MEX,WF,WF 1000083,0,13,5359 hectare
WF_MMR_20210319_118,Green,1,GREEN,1,Myanmar,3/19/2021,4/2/2021,5182,GWIS,MMR,WF,WF 1000085,0,14,5182 hectare
WF_MMR_20210317_119,Green,1,GREEN,1,Myanmar,3/17/2021,4/2/2021,6155,GWIS,MMR,WF,WF 1000091,0,16,6155 hectare
WF_COD_20210323_120,Green,1,GREEN,1,Congo,3/23/2021,4/2/2021,5264,GWIS,COG,WF,WF 1000069,976,10,5264 hectare
WF_IND_20210324_121,Green,1,GREEN,1,India,3/24/2021,4/2/2021,5353,GWIS,IND,WF,WF 1000063,0,9,5353 hectare
WF_MMR_20210329_122,Green,1,GREEN,1,Myanmar,3/29/2021,4/2/2021,5034,GWIS,MMR,WF,WF 1000032,0,4,5034 hectare
WF_USA_20210328_123,Green,1,GREEN,1,United States,3/28/2021,4/2/2021,11411,GWIS,USA,WF,WF 1000035,1,5,11411 hectare
WF_IND_20210324_124,GREEN,1,GREEN,1,India,3/24/2021,4/2/2021,9958,GWIS,IND,WF,WF 1000379,0,9,9958 hectare
WF_USA_20210328_125,GREEN,1,GREEN,1,United States,3/28/2021,4/1/2021,6330,GWIS,USA,WF,WF 1000370,5,4,6330 hectare
WF_IND_20210326_126,Green,1,GREEN,1,India,3/26/2021,4/1/2021,7269,GWIS,IND,WF,WF 1000051,670,6,7269 hectare
WF_RUS_20210429_127,Green,1,GREEN,1,Russian Federation,4/29/2021,6/16/2021,209068,GWIS,RUS,WF,WF 1000398,0,48,209068 hectare
WF_RUS_20210425_128,Green,1,GREEN,1,Russian Federation,4/25/2021,6/4/2021,72313,GWIS,RUS,WF,WF 1000251,19,40,72313 hectare
WF_RUS_20210425_129,Green,1,GREEN,1,Russian Federation,4/25/2021,5/30/2021,49295,GWIS,RUS,WF,WF 1000305,8,35,49295 hectare
WF_RUS_20210429_130,Green,1,GREEN,1,Russian Federation,4/29/2021,5/18/2021,172353,GWIS,RUS,WF,WF 1000315,0,19,172353 hectare
WF_RUS_20210429_131,GREEN,1,GREEN,1,Russian Federation,4/29/2021,5/16/2021,160376,GWIS,RUS,WF,WF 1000314,0,17,160376 hectare
WF_RUS_20210415_132,GREEN,1,GREEN,1,Russian Federation,4/15/2021,5/15/2021,160507,GWIS,RUS,WF,WF 1000365,0,30,160507 hectare
WF_RUS_20210429_133,Green,1,GREEN,1,Russian Federation,4/29/2021,5/15/2021,149270,GWIS,RUS,WF,WF 1000309,0,16,149270 hectare
WF_RUS_20210429_134,Green,1,GREEN,1,Russian Federation,4/29/2021,5/13/2021,92629,GWIS,RUS,WF,WF 1000261,0,14,92629 hectare
WF_RUS_20210425_135,Green,1,GREEN,1,Russian Federation,4/25/2021,5/12/2021,42335,GWIS,RUS,WF,WF 1000299,8,17,42335 hectare
WF_RUS_20210430_136,GREEN,1,GREEN,1,Russian Federation,4/30/2021,5/12/2021,11026,GWIS,RUS,WF,WF 1000349,0,12,11026 hectare
WF_RUS_20210430_137,Green,1,GREEN,1,Russian Federation,4/30/2021,5/11/2021,10649,GWIS,RUS,WF,WF 1000260,4,11,10649 hectare
WF_RUS_20210425_138,Green,1,GREEN,1,Russian Federation,4/25/2021,5/11/2021,32314,GWIS,RUS,WF,WF 1000236,0,16,32314 hectare
WF_RUS_20210425_139,Green,1,GREEN,1,Russian Federation,4/25/2021,5/10/2021,38481,GWIS,RUS,WF,WF 1000225,8,15,38481 hectare
WF_RUS_20210425_140,Green,1,GREEN,1,Russian Federation,4/25/2021,5/9/2021,16509,GWIS,RUS,WF,WF 1000243,13,14,16509 hectare
WF_RUS_20210429_141,Green,1,GREEN,1,Russian Federation,4/29/2021,5/8/2021,7980,GWIS,RUS,WF,WF 1000250,0,9,7980 hectare
WF_RUS_20210421_142,GREEN,1,GREEN,1,Russian Federation,4/21/2021,5/7/2021,5233,GWIS,RUS,WF,WF 1000355,0,16,5233 hectare
WF_RUS_20210428_143,GREEN,1,GREEN,1,Russian Federation,4/28/2021,5/5/2021,14197,GWIS,RUS,WF,WF 1000242,0,7,14197 hectare
WF_RUS_20210428_144,Green,1,GREEN,1,Russian Federation,4/28/2021,5/5/2021,5992,GWIS,RUS,WF,WF 1000230,0,7,5992 hectare
WF_MEX_20210425_145,Green,1,GREEN,1,Mexico,4/25/2021,5/4/2021,5029,GWIS,MEX,WF,WF 1000235,0,9,5029 hectare
WF_RUS_20210425_146,Green,1,GREEN,1,Russian Federation,4/25/2021,4/30/2021,18920,GWIS,RUS,WF,WF 1000226,0,5,18920 hectare
WF_AUS_20210426_147,Green,1,GREEN,1,Australia,4/26/2021,4/30/2021,5945,GWIS,AUS,WF,WF 1000223,0,4,5945 hectare
WF_RUS_20210425_148,Green,1,GREEN,1,Russian Federation,4/25/2021,4/30/2021,11059,GWIS,RUS,WF,WF 1000220,0,5,11059 hectare
WF_RUS_20210422_149,Green,1,GREEN,1,Russian Federation,4/22/2021,4/30/2021,8408,GWIS,RUS,WF,WF 1000221,0,8,8408 hectare
WF_RUS_20210425_150,Green,1,GREEN,1,Russian Federation,4/25/2021,4/30/2021,10018,GWIS,RUS,WF,WF 1000216,0,5,10018 hectare
WF_RUS_20210425_151,Green,1,GREEN,1,Russian Federation,4/25/2021,4/30/2021,22235,GWIS,RUS,WF,WF 1000218,0,5,22235 hectare
WF_MEX_20210416_152,Green,1,GREEN,1,Mexico,4/16/2021,4/30/2021,6245,GWIS,MEX,WF,WF 1000202,0,14,6245 hectare
WF_RUS_20210422_153,Green,1,GREEN,1,Russian Federation,4/22/2021,4/30/2021,15873,GWIS,RUS,WF,WF 1000211,0,8,15873 hectare
WF_IND_20210412_154,Green,1,GREEN,1,India,4/12/2021,4/30/2021,6907,GWIS,IND,WF,WF 1000213,166,18,6907 hectare
WF_RUS_20210420_155,Green,1,GREEN,1,Russian Federation,4/20/2021,4/30/2021,27148,GWIS,RUS,WF,WF 1000173,0,10,27148 hectare
WF_MMR_20210421_156,GREEN,1,GREEN,1,Myanmar,4/21/2021,4/30/2021,5004,GWIS,MMR,WF,WF 1000231,0,9,5004 hectare
WF_RUS_20210421_157,GREEN,1,GREEN,1,Russian Federation,4/21/2021,4/30/2021,10432,GWIS,RUS,WF,WF 1000232,0,9,10432 hectare
WF_RUS_20210415_158,GREEN,1,GREEN,1,Russian Federation,4/15/2021,4/30/2021,54860,GWIS,RUS,WF,WF 1000233,133,15,54860 hectare
WF_RUS_20210429_159,Green,1,GREEN,1,Russian Federation,4/29/2021,4/30/2021,5331,GWIS,RUS,WF,WF 1000229,0,1,5331 hectare
WF_RUS_20210421_160,GREEN,1,GREEN,1,Russian Federation,4/21/2021,4/30/2021,10432,GWIS,RUS,WF,WF 1000234,0,9,10432 hectare
WF_IND_20210425_161,GREEN,1,GREEN,1,India,4/25/2021,4/30/2021,7003,GWIS,IND,WF,WF 1000351,10904,5,7003 hectare
WF_MMR_20210421_162,GREEN,1,GREEN,1,Myanmar,4/21/2021,4/30/2021,14329,GWIS,MMR,WF,WF 1000356,0,9,14329 hectare
WF_KAZ_20210416_163,GREEN,1,GREEN,1,Kazakhstan,4/16/2021,4/30/2021,15728,GWIS,KAZ,WF,WF 1000363,0,14,15728 hectare
WF_KAZ_20210416_163,GREEN,1,GREEN,1,Russian Federation,4/16/2021,4/30/2021,15728,GWIS,RUS,WF,WF 1000363,0,14,15728 hectare
WF_KAZ_20210426_164,Green,1,GREEN,1,Kazakhstan,4/26/2021,4/29/2021,11517,GWIS,KAZ,WF,WF 1000224,0,3,11517 hectare
WF_IND_20210322_165,Green,1,GREEN,1,India,3/22/2021,4/29/2021,46221,GWIS,IND,WF,WF 1000205,170150,38,46221 hectare
WF_MEX_20210416_166,Green,1,GREEN,1,Mexico,4/16/2021,4/29/2021,6871,GWIS,MEX,WF,WF 1000184,1,13,6871 hectare
WF_RUS_20210429_167,Green,1,GREEN,1,Russian Federation,4/29/2021,6/16/2021,209068,GWIS,RUS,WF,WF 1000398,0,48,209068 hectare
WF_MEX_20210529_168,Green,1,GREEN,1,Mexico,5/29/2021,6/10/2021,6815,GWIS,MEX,WF,WF 1000406,0,12,6815 hectare
